Priority,Source,Gap Type,ISRC,Title,Value Tier,Distributor,Action Required
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADI1758623,NORFSIDE EASTSIDE (FEAT. QUE) SADABABY,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADI1758623,NORFSIDE EASTSIDE (FEAT. QUE),$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADJ1706423,PERCOSEX SADABABY,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",CH7812537082,BLOOD KRISTIE,$$$$$,Switzerland (IFPI Switzerland),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADJ1706269,DEATH ROW,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",QZAHP1706730,KODAK BLACK & PLIES - TOO MUCH MONEY,$$$$$,Unknown international,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",CH7812537183,NO BAP,$$$$$,Switzerland (IFPI Switzerland),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",USUYG1136616,"DEMONS (FEAT. SHRED GANG MONE, SHRED GANG STRAP & EASTSIDE REUP)",$$$$$,US-based (Empire/Atlantic/etc.),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADJ1706352,SHABOOYA (FEAT. MOTOWN TY),$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",CH7812542422,ROAD DOGG SKUBA JAMES,$$$$$,Switzerland (IFPI Switzerland),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",CH7812537079,KLIP HAMILTON,$$$$$,Switzerland (IFPI Switzerland),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCACR1605231,STACY SADABABY,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",ZZOPM2002777,KOURTSIDE (FEAT. LIL YACHTY),$$$$$,Independent/Self-distributed,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",CH7812537081,KONJUNCTION JUNCTION,$$$$$,Switzerland (IFPI Switzerland),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",ZZOPM2002777,KOURTSIDE,$$$$$,Independent/Self-distributed,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADJ1706307,DETROIT RED SADABABY,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",QM8DG2199353,KODAK BLACK - 1800 NIGHTS (KNO THE MEANING FREESTYLE),$$$$$,Unknown publisher/international,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",ZZOPM2002777,KOURTSIDE (FEAT. LIL YACHTY),$$$$$,Independent/Self-distributed,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Death Row,$$,Big Squad LLC,"Register with BMI, SoundExchange, and MLC. Project: D.O.N / Dat One Nigga (2017) (2017)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),In Jig's Voice,$$,Big Squad LLC,"Register with BMI, SoundExchange, and MLC. Project: D.O.N / Dat One Nigga (2017) (2017)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Sorrell Inc.,$$,Big Squad LLC,"Register with BMI, SoundExchange, and MLC. Project: D.O.N / Dat One Nigga (2017) (2017)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),007,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Bersatile,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Bloxk Day,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Bolumbus Day,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Helluva,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Katch If You Kan,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Kold Lil Choppa,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Lil Blood Nem,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Mega Tron,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Offensive Threat,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Paper Skuba,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Pony Down,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Skub N Skilla Show,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Tien N Yamcha,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Whoop N Wham,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: WHOOP Tape (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),7 Mile Shuffle,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Baklava,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Bison Dele,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Brolik,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Fuck Slime,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Kut n Kordial,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Red Whoop,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),The Big Red Whoop,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),WWF,$$,DatPiff Exclusive,"Register with BMI, SoundExchange, and MLC. Project: Brolik (2019) (2019)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),150/55,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),50 Shades of Red,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),5nem,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Aunty Stella,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Free 8 Ball,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Free Jig,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Horse Play 2,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Kam and Kauri,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Kooler Final Form,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Kourtside,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Silver Back,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Trap Withdrawals,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 2 (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),500,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Barry Lil Kuzin,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Bobby Bouscher,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Deuce Skubalo,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Re Rock,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),ShoNuff,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Weezo,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Whoop N Wham,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: Lost Tapes of Skuba Sada (2020) (2020)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Big Hot Cheeto,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: The Lost Tapes (2021) (2021)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Brazy Taxi,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: The Lost Tapes (2021) (2021)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Friends,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: The Lost Tapes (2021) (2021)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Good Wealthy,$$,Compilation,"Register with BMI, SoundExchange, and MLC. Project: The Lost Tapes (2021) (2021)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Angel And Dren,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Bade Bunningham,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),HardKore Holly,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Internet Disease,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Ja Morant,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Karmelo Skanthony,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Miles DeRozan,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Perfect Form Skub,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Rehab,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Unkle Hell Yea,$$,Independent (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Bartier Bounty 3 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),Perfect Form Skub,$$,Asylum Records / Warner Music Group (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Skuba Sada 2.5 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),SkubaRu,$$,Asylum Records / Warner Music Group (A&R: Cody Patrick),"Register with BMI, SoundExchange, and MLC. Project: Skuba Sada 2.5 (2022) (2022)"
MEDIUM,Audit Package,Completely Unregistered (All PROs),N/A (Not Issued),9Fingers,$$,Independent,"Register with BMI, SoundExchange, and MLC. Project: SHONUFF (2023) (2023)"
